tcxo_ppm,raw_offset_hz,residual_offset_hz,raw_search_time_ms,closed_loop_search_time_ms
-2.0,-3990.0,-181.6632462536828,972.0,60.0
-1.975,-3940.1250000000005,-157.60395811914822,960.0,60.0
-1.95,-3890.25,-135.8194703388911,948.0,48.0
-1.925,-3840.3749999999995,-159.23809244999566,936.0,60.0
-1.9,-3790.4999999999995,-135.27249119702904,924.0,48.0
-1.875,-3740.6249999999995,-167.56041582873263,912.0,60.0
-1.85,-3690.75,-142.07434934462066,900.0,48.0
-1.825,-3640.875,-152.46905936908544,888.0,60.0
-1.8,-3591.0,-145.3874129474584,876.0,48.0
-1.775,-3541.1249999999995,-155.28758517494998,864.0,60.0
-1.75,-3491.25,-122.72626661594325,852.0,48.0
-1.725,-3441.375,-116.76615922741921,840.0,48.0
-1.7,-3391.4999999999995,-95.02875691825005,828.0,36.0
-1.675,-3341.625,-149.14634639034068,816.0,48.0
-1.65,-3291.7499999999995,-122.10429868147864,804.0,48.0
-1.625,-3241.875,-111.78772061819957,792.0,48.0
-1.6,-3192.0,-114.29199861316982,780.0,48.0
-1.575,-3142.125,-166.67701638691472,768.0,60.0
-1.55,-3092.25,-107.42329473451082,756.0,48.0
-1.525,-3042.3749999999995,-118.49820504972385,744.0,48.0
-1.5,-2992.5,-120.62221960004273,732.0,48.0
-1.475,-2942.625,-78.10058709124058,720.0,36.0
-1.45,-2892.7499999999995,-124.65256380215362,708.0,48.0
-1.4249999999999998,-2842.8749999999995,-85.64560183884817,696.0,36.0
-1.4,-2793.0,-100.88280814649728,684.0,48.0
-1.375,-2743.125,-99.50427007327477,672.0,36.0
-1.35,-2693.25,-108.1027414077336,660.0,48.0
-1.325,-2643.3749999999995,-125.17459024104105,648.0,48.0
-1.2999999999999998,-2593.4999999999995,-103.74506246412037,636.0,48.0
-1.275,-2543.6249999999995,-139.63652014815688,624.0,48.0
-1.25,-2493.75,-114.90730947127923,612.0,48.0
-1.225,-2443.8750000000005,-97.6110091375353,600.0,36.0
-1.2,-2394.0,-90.19413481945514,588.0,36.0
-1.1749999999999998,-2344.1249999999995,-151.780362471803,576.0,60.0
-1.15,-2294.2499999999995,-66.09656578821443,564.0,36.0
-1.125,-2244.375,-120.87931430077542,552.0,48.0
-1.1,-2194.5,-59.499077826599745,540.0,36.0
-1.075,-2144.6249999999995,-140.39871513095508,528.0,48.0
-1.0499999999999998,-2094.7499999999995,-52.771945545616596,516.0,36.0
-1.025,-2044.8749999999998,-133.00943501369034,504.0,48.0
-1.0,-1995.0,-36.586661872833815,492.0,24.0
-0.9749999999999999,-1945.1249999999995,-89.3135923278704,480.0,36.0
-0.95,-1895.2499999999998,-73.80865441934507,468.0,36.0
-0.925,-1845.375,-31.51699824438957,456.0,24.0
-0.8999999999999999,-1795.4999999999998,-42.24454586046453,444.0,24.0
-0.875,-1745.625,-94.80988001765704,432.0,36.0
-0.8499999999999999,-1695.7499999999995,-48.54465314278471,420.0,24.0
-0.825,-1645.8749999999998,-64.79753568867487,408.0,36.0
-0.7999999999999998,-1595.9999999999995,-85.07601224966197,396.0,36.0
-0.7749999999999999,-1546.1249999999998,-36.45109487009617,384.0,24.0
-0.75,-1496.25,-86.04791107924228,372.0,36.0
-0.7249999999999999,-1446.3749999999998,-24.670872899102058,360.0,24.0
-0.7,-1396.5,-32.708853254628536,348.0,24.0
-0.6749999999999998,-1346.6249999999995,-36.294054065151215,336.0,24.0
-0.6499999999999999,-1296.7499999999998,-3.404886771572613,324.0,24.0
-0.625,-1246.875,-92.34652891929775,312.0,36.0
-0.5999999999999999,-1196.9999999999998,-34.98050032987661,300.0,24.0
-0.575,-1147.1249999999998,-102.8154199846972,288.0,48.0
-0.5499999999999998,-1097.2499999999995,-77.91273467210098,276.0,36.0
-0.5249999999999999,-1047.3749999999998,-33.28711150785573,264.0,24.0
-0.5,-997.5,-78.522193364338,252.0,36.0
-0.47499999999999987,-947.6249999999997,-22.669208302929146,240.0,24.0
-0.44999999999999996,-897.7499999999999,-2.9550635242338714,228.0,24.0
-0.4249999999999998,-847.8749999999995,-22.530582467821777,216.0,24.0
-0.3999999999999999,-797.9999999999998,-13.77980836162359,204.0,24.0
-0.375,-748.125,-22.02647587257205,192.0,24.0
-0.34999999999999987,-698.2499999999997,-25.43565103989175,180.0,24.0
-0.32499999999999996,-648.3749999999999,-39.158607764234205,168.0,24.0
-0.2999999999999998,-598.4999999999997,0.0419757977022428,156.0,24.0
-0.2749999999999999,-548.6249999999998,-6.020195230802894,144.0,24.0
-0.25,-498.75,-11.881519599891513,132.0,24.0
-0.22499999999999987,-448.8749999999997,-14.103102168009148,120.0,24.0
-0.19999999999999996,-398.9999999999999,-30.070646295744382,108.0,24.0
-0.17499999999999982,-349.1249999999996,1.0947402947714728,96.0,24.0
-0.1499999999999999,-299.24999999999983,-22.939654650828558,84.0,24.0
-0.125,-249.375,22.01190929573741,72.0,24.0
-0.09999999999999987,-199.49999999999972,-35.519897447355014,60.0,24.0
-0.07499999999999996,-149.62499999999991,-3.2629890163972552,48.0,24.0
-0.04999999999999982,-99.74999999999964,-49.711308441000746,36.0,24.0
-0.02499999999999991,-49.87499999999982,-22.575182221657528,24.0,24.0
0.0,0.0,-6.432514845550418,12.0,24.0
0.02499999999999991,49.87499999999982,-59.22330412889484,24.0,36.0
0.050000000000000266,99.75000000000053,-16.531109289309228,36.0,24.0
0.07500000000000018,149.62500000000034,1.4622875330291718,48.0,24.0
0.10000000000000009,199.50000000000017,-48.16238123367948,60.0,24.0
0.125,249.375,-0.16713156734495271,72.0,24.0
0.1499999999999999,299.24999999999983,18.796439983651627,84.0,24.0
0.17500000000000027,349.1250000000005,28.307613647069964,96.0,24.0
0.20000000000000018,399.00000000000034,43.387825764785795,108.0,24.0
0.2250000000000001,448.8750000000001,4.97203802021472,120.0,24.0
0.25,498.75,13.31705683715606,132.0,24.0
0.2749999999999999,548.6249999999998,49.73075793676456,144.0,24.0
0.30000000000000027,598.5000000000005,7.320927403994279,156.0,24.0
0.3250000000000002,648.3750000000003,12.190262782959836,168.0,24.0
0.3500000000000001,698.2500000000002,-39.524623326102486,180.0,24.0
0.375,748.125,11.495667102981784,192.0,24.0
0.40000000000000036,798.0000000000007,49.62504182367101,204.0,24.0
0.42500000000000027,847.8750000000006,28.41453030101317,216.0,24.0
0.4500000000000002,897.7500000000002,31.78187625287483,228.0,24.0
0.4750000000000001,947.6250000000001,3.610594863658882,240.0,24.0
0.5,997.5,-13.284308234501886,252.0,24.0
0.5250000000000004,1047.3750000000007,43.46339125063526,264.0,24.0
0.5500000000000003,1097.2500000000005,82.85859218819509,276.0,36.0
0.5750000000000002,1147.1250000000002,20.328640033365993,288.0,24.0
0.6000000000000001,1197.0000000000002,79.13587147936437,300.0,36.0
0.625,1246.875,78.72663612889227,312.0,36.0
0.6500000000000004,1296.7500000000007,-4.025227232907625,324.0,24.0
0.6750000000000003,1346.6250000000005,42.71120236963067,336.0,24.0
0.7000000000000002,1396.5000000000005,72.6623981430374,348.0,36.0
0.7250000000000001,1446.375,46.83170306837668,360.0,24.0
0.75,1496.25,81.98125292786838,372.0,36.0
0.7750000000000004,1546.1250000000007,52.17479540048755,384.0,36.0
0.8000000000000003,1596.0000000000005,55.93285398458981,396.0,36.0
0.8250000000000002,1645.8750000000002,95.29528018514112,408.0,36.0
0.8500000000000001,1695.75,92.66796286781087,420.0,36.0
0.875,1745.625,56.23876618505327,432.0,36.0
0.9000000000000004,1795.5000000000005,78.3611691561499,444.0,36.0
0.9250000000000003,1845.3750000000005,75.20520053859114,456.0,36.0
0.9500000000000002,1895.2500000000002,89.60787593102488,468.0,36.0
0.9750000000000001,1945.125,77.67000922204758,480.0,36.0
1.0,1995.0,131.55237919940768,492.0,48.0
1.0250000000000004,2044.8750000000007,55.359144611724744,504.0,36.0
1.0500000000000003,2094.7500000000005,88.5991227242382,516.0,36.0
1.0750000000000002,2144.625,134.8110035677648,528.0,48.0
1.1,2194.5,116.60005109468392,540.0,48.0
1.125,2244.375,43.11055840977727,552.0,24.0
1.1500000000000004,2294.2500000000005,39.47540078561694,564.0,24.0
1.1750000000000003,2344.1250000000005,72.9316235303061,576.0,36.0
1.2000000000000002,2394.0000000000005,137.45018507577691,588.0,48.0
1.225,2443.8750000000005,92.07624649397101,600.0,36.0
1.25,2493.75,111.97510569641838,612.0,48.0
1.2750000000000004,2543.6250000000005,98.13300311186408,624.0,36.0
1.3000000000000003,2593.5000000000005,39.04728305685859,636.0,24.0
1.3250000000000002,2643.375,98.02291937514885,648.0,36.0
1.35,2693.25,98.12697526114951,660.0,36.0
1.375,2743.125,168.04549048040184,672.0,60.0
1.4000000000000004,2793.000000000001,114.45882909805349,684.0,48.0
1.4250000000000003,2842.8750000000005,104.10414943775892,696.0,48.0
1.4500000000000002,2892.75,70.7382426306681,708.0,36.0
1.475,2942.625,95.60446181367423,720.0,36.0
1.5,2992.5,139.20648301487336,732.0,48.0
1.5250000000000004,3042.3750000000005,129.5316334256447,744.0,48.0
1.5500000000000003,3092.2500000000005,93.90753208126836,756.0,36.0
1.5750000000000002,3142.1250000000005,107.58306710115409,768.0,48.0
1.6,3192.0,140.8097997681337,780.0,48.0
1.625,3241.875,153.67001273415752,792.0,60.0
1.6500000000000004,3291.7500000000005,73.29281024809505,804.0,36.0
1.6750000000000003,3341.6250000000005,144.47702485680875,816.0,48.0
1.7000000000000002,3391.5,116.3202845224459,828.0,48.0
1.725,3441.375,188.55022730202927,840.0,60.0
1.75,3491.25,90.90295235529598,852.0,36.0
1.7750000000000004,3541.125000000001,131.4245269267945,864.0,48.0
1.8000000000000003,3591.0000000000005,87.47259113250317,876.0,36.0
1.8250000000000002,3640.875,140.6735569847479,888.0,48.0
1.85,3690.75,133.04989743386125,900.0,48.0
1.875,3740.6249999999995,121.99177092958885,912.0,48.0
1.9000000000000004,3790.5000000000005,141.9266485630318,924.0,48.0
1.9250000000000003,3840.3750000000005,128.95542081556505,936.0,48.0
1.9500000000000002,3890.25,146.71135387517324,948.0,48.0
1.975,3940.1250000000005,135.95623495485444,960.0,48.0
2.0,3990.0,149.57905237055,972.0,48.0
